checkpoint,checkpoint_label,state_index,producing_block,mixing_weight_pct
esmfold2_experimental_cutoff2025,Experimental 2025,43,42.0,0.0003965685
esmfold2_experimental_cutoff2025,Experimental 2025,44,43.0,0.0005444275
esmfold2_experimental_cutoff2025,Experimental 2025,45,44.0,0.001131578
esmfold2_experimental_cutoff2025,Experimental 2025,46,45.0,0.0012005623
esmfold2_experimental_cutoff2025,Experimental 2025,47,46.0,0.0105825556
esmfold2_experimental_cutoff2025,Experimental 2025,48,47.0,1.4645181737
esmfold2_experimental_cutoff2025,Experimental 2025,49,48.0,4.4095296191
esmfold2_experimental_cutoff2025,Experimental 2025,50,49.0,5.5901378947
esmfold2_experimental_cutoff2025,Experimental 2025,51,50.0,9.9882865813
esmfold2_experimental_cutoff2025,Experimental 2025,52,51.0,3.6394084594
esmfold2_experimental_cutoff2025,Experimental 2025,53,52.0,2.0460352852
esmfold2_experimental_cutoff2025,Experimental 2025,54,53.0,0.140545818
esmfold2_experimental_cutoff2025,Experimental 2025,55,54.0,0.0530418026
esmfold2_experimental_cutoff2025,Experimental 2025,56,55.0,0.0156418305
esmfold2_experimental_cutoff2025,Experimental 2025,57,56.0,0.027777588
esmfold2_experimental_cutoff2025,Experimental 2025,58,57.0,0.0244908874
esmfold2_experimental_cutoff2025,Experimental 2025,59,58.0,0.0298958778
esmfold2_experimental_cutoff2025,Experimental 2025,60,59.0,0.0800303761
esmfold2_experimental_cutoff2025,Experimental 2025,61,60.0,0.3953701544
esmfold2_experimental_cutoff2025,Experimental 2025,62,61.0,0.4058235793
esmfold2_experimental_cutoff2025,Experimental 2025,63,62.0,0.1797312687
esmfold2_experimental_cutoff2025,Experimental 2025,64,63.0,0.0332826944
esmfold2_experimental_cutoff2025,Experimental 2025,65,64.0,0.0180492022
esmfold2_experimental_cutoff2025,Experimental 2025,66,65.0,0.0092070548
esmfold2_experimental_cutoff2025,Experimental 2025,67,66.0,0.0071609592
esmfold2_experimental_cutoff2025,Experimental 2025,68,67.0,0.0106022286
esmfold2_experimental_cutoff2025,Experimental 2025,69,68.0,0.0061177781
esmfold2_experimental_cutoff2025,Experimental 2025,70,69.0,0.0031076226
esmfold2_experimental_cutoff2025,Experimental 2025,71,70.0,0.0034422629
esmfold2_experimental_cutoff2025,Experimental 2025,72,71.0,0.0030067189
esmfold2_experimental_cutoff2025,Experimental 2025,73,72.0,0.0055431494
esmfold2_experimental_cutoff2025,Experimental 2025,74,73.0,0.3318001384
esmfold2_experimental_cutoff2025,Experimental 2025,75,74.0,1.8162870095
esmfold2_experimental_cutoff2025,Experimental 2025,76,75.0,3.5866089405
esmfold2_experimental_cutoff2025,Experimental 2025,77,76.0,6.4421220889
esmfold2_experimental_cutoff2025,Experimental 2025,78,77.0,11.7548601207
esmfold2_experimental_cutoff2025,Experimental 2025,79,78.0,20.5840149172
esmfold2_experimental_cutoff2025,Experimental 2025,80,79.0,21.6581459915
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,0,,2.6207243169
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,1,0.0,0.0056986088
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,2,1.0,0.0085787628
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,3,2.0,0.0155829191
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,4,3.0,0.023763267
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,5,4.0,0.0482221447
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,6,5.0,0.1931035563
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,7,6.0,0.2542877629
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,8,7.0,0.4112953317
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,9,8.0,0.498728619
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,10,9.0,0.887141182
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,11,10.0,2.2105566156
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,12,11.0,0.0673187565
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,13,12.0,0.0113560922
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,14,13.0,0.0009896023
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,15,14.0,0.0006722964
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,16,15.0,0.0002982415
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,17,16.0,0.0002075367
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,18,17.0,0.0001663914
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,19,18.0,0.0001425034
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,20,19.0,0.0001243473
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,21,20.0,0.0001160012
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,22,21.0,0.000112295
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,23,22.0,0.0001143216
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,24,23.0,0.0001211095
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,25,24.0,0.0001193225
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,26,25.0,0.0001154526
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,27,26.0,0.0001163296
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,28,27.0,0.0001152817
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,29,28.0,0.000117941
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,30,29.0,0.0001289583
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,31,30.0,0.0001382503
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,32,31.0,0.0001447307
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,33,32.0,0.0001508733
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,34,33.0,0.0001565131
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,35,34.0,0.0001625182
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,36,35.0,0.0001671816
esmfold2_experimental_fast_cutoff2025,Experimental Fast 2025,37,36.0,0.0001882771
